Sample_ID,PC1_0.03008,PC2_0.01143,PC3_0.00354,Super_Population,Population,Population_Description
HG02010,-0.7907810655155931,-0.4825149863840801,-0.2802127538988881,AFR,ACB,African Caribbean in Barbados
HG02012,-1.727697110732061,0.2873653040547904,0.06470408157562359,AFR,ACB,African Caribbean in Barbados
HG02013,-1.7205522787450405,0.2253122094342531,-0.09198418161264316,AFR,ACB,African Caribbean in Barbados
HG02014,-1.308370811335246,-0.15859363393629192,-0.13925946679008533,AFR,ACB,African Caribbean in Barbados
HG02016,0.6509456510249928,1.6786920539363683,0.29975119066869826,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02017,0.6069244535151412,1.4642878703488311,0.05376782794880465,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02019,0.7248905723106991,1.358290466636584,0.3855666237187249,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02020,0.7032765907879468,1.4245879421217635,0.3871113470748,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02023,0.6564886581246983,1.7633614340503074,-0.18855338409290687,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02025,0.7530533305884194,1.8759553533403237,0.4190949841064781,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02026,0.6858121331497304,1.6317080202651943,0.6462684181420341,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02028,0.7678966405142856,1.6291403449559616,-0.2929343915779404,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02029,0.7855209265654095,1.5268987513720762,0.1299638927237376,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02031,0.8046670794125157,1.7866113394406216,0.04353113786118409,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02032,0.7242474162002877,1.6997226621042003,0.4573588078176989,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02035,0.7893843149004317,1.2512271422711023,0.1822338549196688,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02040,0.7244907718270213,1.4133169647214476,0.12468694059006995,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02047,0.8538201082286017,1.5512861317094382,-0.3492608177380844,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02048,0.7052816521439516,1.852319396976552,0.15483039388608685,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02049,0.6779980126221131,1.4088275585936725,0.0626196818950752,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02050,0.8359660666913804,1.27403536422003,-0.03932790664470083,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02051,-1.6723790625045416,-0.011768233972916757,-0.4411189434474773,AFR,ACB,African Caribbean in Barbados
HG02052,-1.6670574903725468,0.0034350898587408338,-0.0896077451488664,AFR,ACB,African Caribbean in Barbados
HG02053,-1.7289884612278017,0.07639861188248,0.3051192884557196,AFR,ACB,African Caribbean in Barbados
HG02054,-1.5721074033133309,0.029910118992101505,-0.4328513932175757,AFR,ACB,African Caribbean in Barbados
HG02057,0.6095303755432551,1.6280345135195144,0.06484562695165834,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02058,0.726765526599408,1.3756895022584252,0.4100965062975284,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02060,0.8167462576531741,1.6376175895098046,0.1150463344234229,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
HG02061,0.8429577937695854,1.5991459435919757,0.21195272019896488,EAS,KHV,"Kinh in Ho Chi Minh City, Vietnam"
